,Open,High,Low,Close,Volume,ADS_Index,SP500,Mkt-RF,SMB,HML,AMZN,FB,GOOGL,NFLX,NVDA,TSLA
634,188.6,189.78,187.61,188.0,161149,0.23764273600000002,2774.02,-0.69,0.0,-0.52,1741.21,202.5675,1166.7725,414.1425,19.8875,881.173125
635,188.47,191.41,188.35,191.09,160744,0.238996965,2798.29,0.86,-0.33,-1.08,1779.875,205.23,1189.8225,414.0625,19.815,897.2475
636,191.2,191.84,190.8,191.37,111816,0.24066291899999998,2801.31,0.08,-0.11,-0.29,1806.63,207.465,1203.1825,405.055,19.84,905.583125
637,192.0,192.65,189.63,189.97,133324,0.247671615,2798.43,-0.16,-0.73,0.84,1813.3875,206.575,1190.24,371.8125,20.04,895.50375
638,189.9,191.87,189.2,191.73,136067,0.250896412,2809.55,0.48,0.24,-0.68,1827.655,207.4975,1199.9325,363.6575,20.215,899.685625
639,192.05,192.4,189.93,190.53,133507,0.254605722,2815.62,0.27,-0.25,0.61,1844.8125,209.7025,1204.7975,379.385,19.99,909.674375
640,190.2,192.55,189.69,192.18,174235,0.258800028,2804.49,-0.34,0.97,-0.37,1827.8925,208.8625,1205.8025,370.0575,19.8025,903.15375
641,192.49,192.5,190.17,191.33,180092,0.263479875,2801.83,-0.1,-0.17,0.08,1820.975,209.65,1202.1925,363.85,19.4625,899.166875
642,190.85,192.09,189.56,191.89,143082,0.280405933,2806.98,0.15,-0.24,0.38,1804.4775,212.0075,1231.965,360.6225,19.5975,902.268125
643,192.1,193.67,191.51,192.9,163020,0.286943553,2820.4,0.22,-1.38,0.52,1824.8475,214.63,1258.0625,360.99,19.59,914.6325
644,193.01,194.85,191.7,192.85,149635,0.293912399,2846.07,0.83,-0.39,-1.21,1836.565,192.9825,1258.4325,355.995,19.3175,910.99375
645,192.82,195.96,192.82,194.6,168390,0.301313377,2837.44,-0.2,0.64,0.61,1826.1125,179.28,1273.96,360.165,19.5275,909.879375
646,194.6,195.19,190.21,190.32,143055,0.309147451,2818.82,-0.82,-1.37,1.15,1846.5875,176.76,1269.79,359.8375,19.8275,913.24375
647,191.0,192.2,189.07,190.14,181991,0.335283553,2802.6,-0.7,-0.25,1.66,1800.3825,171.9175,1239.92,345.105,20.02,889.33125
648,190.33,198.0,189.34,197.95,338107,0.344623721,2816.29,0.51,0.79,-0.96,1779.01,172.125,1230.4875,336.3175,19.995,879.485
649,197.29,201.92,196.65,201.67,606062,0.354140733,2813.36,-0.13,0.09,-0.29,1790.795,172.635,1234.4825,339.605,20.1975,884.379375
650,199.9,208.38,199.69,207.09,555984,0.363466621,2827.22,0.67,0.37,-0.73,1813.9775,173.66,1231.3675,341.2275,20.2975,890.058125
651,206.6,208.74,205.48,207.93,286374,0.37173242799999995,2840.35,0.31,-1.06,0.55,1831.6025,177.445,1240.3975,344.2475,20.64,898.423125
652,208.07,209.25,207.07,209.06,224609,0.390466143,2850.4,0.46,0.27,-0.32,1836.0925,181.93,1237.395,346.835,21.475,900.563125
653,209.25,209.87,206.76,206.88,225698,0.39495519100000004,2858.45,0.29,0.01,-0.13,1857.8725,185.8775,1252.6575,352.8775,22.5875,912.32125
654,206.8,207.81,204.55,207.0,189558,0.398555685,2857.7,-0.04,-0.13,0.22,1873.9525,185.115,1261.0975,350.105,23.3325,917.5675
655,206.9,209.78,206.45,208.84,204138,0.401268092,2853.58,-0.05,0.34,-0.32,1894.09,184.75,1264.49,348.6425,23.665,922.993125
656,207.9,209.1,206.67,207.7,200791,0.403092765,2833.28,-0.6,0.42,-0.23,1889.3775,181.2975,1256.07,346.8875,23.59,918.408125
657,206.7,210.96,206.6,209.1,229370,0.403361474,2821.93,-0.46,-0.15,-0.31,1898.7275,180.1775,1253.9725,343.115,23.6925,918.998125
658,210.01,210.56,208.26,209.85,163441,0.40172160700000004,2839.96,0.69,0.32,0.2,1914.775,180.6025,1254.4125,339.8375,23.535,922.406875
659,210.0,210.74,208.0,210.15,248401,0.39915993,2818.37,-0.91,-0.54,-0.14,1900.695,179.1975,1239.36,330.145,23.615,912.349375
660,210.7,213.82,210.7,212.99,242028,0.395676109,2840.69,0.86,-0.07,0.27,1893.7025,177.4825,1233.01,325.545,23.165,907.435
661,213.5,217.95,212.8,217.53,303920,0.391269693,2850.13,0.3,0.08,0.04,1879.3875,174.0575,1216.7075,318.725,23.0125,897.219375
662,218.25,219.35,215.11,215.52,258908,0.372661969,2857.05,0.25,0.12,0.17,1881.43,173.175,1220.035,322.51,22.445,899.2875
663,216.1,217.19,213.75,213.77,225722,0.36477388899999996,2862.96,0.33,0.88,0.15,1880.2125,172.515,1219.5425,334.395,21.7425,901.66625
664,214.0,216.36,213.84,215.25,166623,0.356021395,2861.82,0.05,0.41,-0.45,1893.1525,172.97,1220.1075,341.3925,20.7575,906.905625
665,215.25,217.05,214.6,215.7,161890,0.346403351,2856.98,-0.19,-0.05,-0.33,1907.61,173.6775,1224.5025,343.2225,21.0575,912.253125
666,216.3,216.9,215.11,216.3,155092,0.335918503,2874.69,0.62,-0.05,-0.51,1908.8875,173.85,1230.3025,350.95,21.125,915.9975
667,216.78,218.74,216.33,218.16,177637,0.299340179,2896.74,0.74,-0.69,-0.12,1922.145,176.78,1250.08,365.1,22.485,928.52625
668,218.3,220.54,217.94,219.88,198172,0.28525388100000004,2897.52,-0.01,-0.12,-0.29,1934.3675,177.2025,1250.9175,366.3425,22.3975,932.2075
669,220.25,223.75,219.41,223.75,239806,0.27008211,2914.04,0.56,-0.04,-0.59,1971.025,176.0175,1257.9825,367.7625,22.535,943.196875
670,224.0,228.26,222.21,225.0,422351,0.25382289199999997,2901.13,-0.41,0.3,-0.43,2003.6875,176.9625,1257.58,368.9475,21.745,951.794375
